time,frequency,confidence
7.950,78.324,0.766843
7.960,78.117,0.932752
7.970,78.194,0.945718
7.980,78.144,0.943210
7.990,78.381,0.942924
8.000,78.276,0.948645
8.010,78.193,0.956195
8.020,78.141,0.958280
8.030,78.234,0.951968
8.040,78.235,0.956314
8.050,78.148,0.961534
8.060,78.204,0.954434
8.070,78.151,0.960162
8.080,78.182,0.963480
8.090,78.156,0.954329
8.100,78.125,0.959938
8.110,78.183,0.957460
8.120,78.162,0.953675
8.130,78.213,0.956487
8.140,78.106,0.961245
8.150,78.101,0.958924
8.160,78.151,0.961062
8.170,78.183,0.925554
8.180,78.091,0.577013
8.190,80.805,0.081805
8.200,86.342,0.218608
8.210,86.555,0.588195
8.220,87.084,0.876580
8.230,87.293,0.934807
8.240,87.335,0.942207
8.250,87.373,0.948304
8.260,87.272,0.953498
8.270,87.264,0.955636
8.280,87.328,0.956830
8.290,87.367,0.955494
8.300,87.375,0.954278
8.310,87.217,0.946439
8.320,87.310,0.950879
8.330,87.377,0.953009
8.340,87.315,0.955968
8.350,87.318,0.958119
8.360,87.324,0.956693
8.370,87.326,0.954275
8.380,87.366,0.952292
8.390,87.207,0.944921
8.400,87.300,0.948872
8.410,87.370,0.951631
8.420,87.321,0.952901
8.430,87.305,0.927455
8.440,86.757,0.548022
8.450,44.181,0.045365
8.460,174.996,0.024603
8.470,65.780,0.072734
8.480,65.528,0.869214
8.490,65.637,0.924199
8.500,65.532,0.930650
8.510,65.482,0.923608
8.520,65.544,0.914487
8.530,65.503,0.940453
8.540,65.484,0.930987
8.550,65.433,0.917321
8.560,65.497,0.931496
8.570,65.592,0.921997
8.580,65.443,0.912946
8.590,65.520,0.935673
8.600,65.669,0.916651
8.610,65.489,0.913534
8.620,65.439,0.937444
8.630,65.534,0.922187
8.640,65.410,0.917581
8.650,65.536,0.942927
8.660,65.570,0.924651
8.670,65.448,0.926069
8.680,65.544,0.944281
8.690,65.380,0.926848
8.700,64.521,0.621323
8.710,33.239,0.133987
8.720,33.482,0.177779
8.730,58.304,0.388211
8.740,58.371,0.893169
8.750,58.206,0.930694
8.760,58.271,0.914464
8.770,58.326,0.923338
8.780,58.272,0.924882
8.790,58.310,0.913023
8.800,58.236,0.919834
8.810,58.280,0.901358
8.820,58.292,0.924169
8.830,58.222,0.913604
8.840,58.222,0.907159
8.850,58.182,0.923181
8.860,58.227,0.907890
8.870,58.247,0.922923
8.880,58.213,0.915874
8.890,58.252,0.915372
8.900,58.200,0.918543
8.910,58.234,0.908795
8.920,58.236,0.919748
8.930,58.236,0.916592
8.940,58.264,0.926966
8.950,58.234,0.921067
8.960,58.202,0.865073
8.970,56.898,0.379394
8.980,54.325,0.094257
8.990,75.096,0.122127
9.000,73.771,0.605862
9.010,73.639,0.881368
9.020,73.438,0.909256
9.030,73.496,0.934504
9.040,73.522,0.945399
9.050,73.560,0.949871
9.060,73.495,0.942443
9.070,73.557,0.949150
9.080,73.567,0.954052
9.090,73.569,0.954348
9.100,73.430,0.936571
9.110,73.552,0.947632
9.120,73.581,0.954749
9.130,73.620,0.950704
9.140,73.489,0.945702
9.150,73.529,0.950358
9.160,73.545,0.953769
9.170,73.486,0.937142
9.180,73.502,0.933552
9.190,73.481,0.933257
9.200,73.482,0.925478
9.210,73.432,0.897327
9.220,73.686,0.626233
9.230,76.346,0.144696
9.240,75.357,0.099072
9.250,67.163,0.185262
9.260,65.935,0.614600
9.270,65.700,0.903077
9.280,65.623,0.925632
9.290,65.559,0.918570
9.300,65.640,0.931684
9.310,65.477,0.920895
9.320,65.444,0.936333
9.330,65.582,0.930988
9.340,65.504,0.925809
9.350,65.462,0.936754
9.360,65.532,0.929964
9.370,65.558,0.923513
9.380,65.556,0.941978
9.390,65.529,0.931404
9.400,65.525,0.916974
9.410,65.531,0.938548
9.420,65.519,0.930516
9.430,65.464,0.917819
9.440,65.546,0.940067
9.450,65.657,0.927539
9.460,65.489,0.927015
9.470,65.494,0.942921
9.480,65.536,0.929706
9.490,64.911,0.696233
9.500,33.593,0.103027
9.510,116.054,0.374436
9.520,116.680,0.755129
9.530,116.932,0.853066
9.540,116.848,0.901204
9.550,116.722,0.935694
9.560,116.616,0.938863
9.570,116.474,0.944587
9.580,116.545,0.945352
9.590,116.671,0.942459
9.600,116.607,0.947799
9.610,116.582,0.953333
9.620,116.597,0.949341
9.630,116.565,0.948063
9.640,116.553,0.950949
9.650,116.680,0.945967
9.660,116.610,0.951670
9.670,116.557,0.953927
9.680,116.614,0.951499
9.690,116.603,0.949640
9.700,116.586,0.955264
9.710,116.705,0.949105
9.720,116.641,0.955721
9.730,116.588,0.956392
9.740,116.624,0.952072
9.750,116.455,0.903292
9.760,116.332,0.783749
9.770,117.023,0.391665
9.780,117.257,0.216987
9.790,58.174,0.627830
9.800,58.073,0.912745
9.810,58.172,0.905086
9.820,58.213,0.920130
9.830,58.180,0.905805
9.840,58.210,0.900527
9.850,58.166,0.908798
9.860,58.231,0.903155
9.870,58.198,0.913047
9.880,58.212,0.911777
9.890,58.216,0.922458
9.900,58.194,0.912164
9.910,58.185,0.906701
9.920,58.170,0.918805
9.930,58.214,0.901104
9.940,58.215,0.916328
9.950,58.170,0.914693
9.960,58.200,0.913627
9.970,58.162,0.913747
9.980,58.194,0.905102
9.990,58.211,0.915925
10.000,58.185,0.911341
10.010,58.267,0.906933
10.020,58.388,0.564460
10.030,56.997,0.029415
10.040,111.367,0.398600
10.050,110.941,0.743926
10.060,110.351,0.858649
10.070,110.297,0.902797
10.080,110.181,0.918269
10.090,110.068,0.918872
10.100,110.004,0.912856
10.110,110.057,0.921365
10.120,110.060,0.916553
10.130,110.115,0.926319
10.140,110.155,0.917158
10.150,110.160,0.919130
10.160,110.244,0.914874
10.170,110.129,0.905408
10.180,110.097,0.897939
10.190,110.047,0.904265
10.200,110.044,0.916674
10.210,109.997,0.917589
10.220,110.106,0.924814
10.230,110.076,0.926535
10.240,110.130,0.923882
10.250,110.137,0.922318
10.260,110.215,0.918685
10.270,110.363,0.905951
10.280,111.471,0.749784
10.290,110.746,0.712480
10.300,108.619,0.638493
10.310,105.442,0.663624
10.320,104.733,0.765368
10.330,104.510,0.819893
10.340,104.285,0.872709
10.350,104.277,0.887668
10.360,104.160,0.896450
10.370,104.134,0.896346
10.380,104.156,0.897675
10.390,104.088,0.906954
10.400,104.264,0.894880
10.410,104.133,0.893829
10.420,104.144,0.895827
10.430,104.206,0.893483
10.440,104.152,0.895514
10.450,104.209,0.884986
10.460,104.167,0.873599
10.470,104.163,0.878320
10.480,104.273,0.875001
10.490,104.258,0.883254
10.500,104.209,0.886047
10.510,104.156,0.888571
10.520,104.212,0.878551
10.530,104.730,0.757275
10.540,105.614,0.622503
10.550,106.708,0.451616
